,AreaName,District,PinCode,Longitude,Latitude,Cluster,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue
392,Mianwali Nagar Peera Garhi,West District,110056,77.096072,28.679509,3,Convenience Store,Indian Restaurant,Train Station,Restaurant,Event Space
393,Abul Fazal Enclave Jamia Nagar,South East Delhi District,110025,77.297802,28.555496,3,Department Store,Arcade,Indian Restaurant,Playground,Kebab Restaurant
394,Mahavir Enclave,South West District,110045,77.08236,28.596709,3,Department Store,Indian Restaurant,Science Museum,Bank,Fast Food Restaurant
395,Mahavir Enclave Bengali Colony,South West District,110045,77.08236,28.596709,3,Department Store,Indian Restaurant,Science Museum,Bank,Fast Food Restaurant
396,Shyam Vihar Phase1,South West District,110078,77.02922,28.606015,3,Diner,Chinese Restaurant,Fast Food Restaurant,Yoga Studio,Fabric Shop
397,Panchsheel Enclave,South District,110017,77.229476,28.543794,3,Event Space,Lounge,Indian Restaurant,Gym,Food Truck
398,Ashok Nagar,West District,110018,77.101596,28.635974,3,Fast Food Restaurant,Café,Ice Cream Shop,Yoga Studio,Football Stadium
399,Shaheen Bagh New Delhi,South East Delhi District,110025,77.302624,28.544888000000004,3,Fast Food Restaurant,Hotel,Diner,Park,Market
400,Kalindi Kunj Road,South East Delhi District,110076,77.310302,28.543383,3,Fast Food Restaurant,Hotel,Light Rail Station,Yoga Studio,Entertainment Service
401,Abul Fazal Enclave,South East Delhi District,110025,77.307199,28.54637,3,Fast Food Restaurant,Hotel,Park,Yoga Studio,Entertainment Service
402,Pocket 2 Sector 6 Dwarka,South West District,110075,77.059791,28.59122,3,Fast Food Restaurant,Indian Restaurant,Coffee Shop,Event Space,Football Stadium
403,Kalkaji,South East Delhi District,110019,77.255747,28.541421000000007,3,Fast Food Restaurant,Indian Restaurant,Coffee Shop,Sandwich Place,Market
404,Kalkaji Extension,South East Delhi District,110019,77.255747,28.541421000000007,3,Fast Food Restaurant,Indian Restaurant,Coffee Shop,Sandwich Place,Market
405,Kalkaji Flyover,South East Delhi District,110019,77.255747,28.541421000000007,3,Fast Food Restaurant,Indian Restaurant,Coffee Shop,Sandwich Place,Market
